ticker,current_price,MA20,MA50,RSI,sharpe_ratio,volatility_pct
NOKIA.HE,11.425,9.0437,7.732,82.45,3.3328,44.01
OUT1V.HE,5.85,5.3026,5.0845,76.82,2.7966,40.36
NESTE.HE,29.51,26.375,25.8371,71.49,2.7563,44.84
WRT1V.HE,35.99,36.15,34.4373,51.52,1.8701,37.94
ELISA.HE,41.38,41.314,42.04,51.65,1.2863,17.44
FORTUM.HE,21.73,21.802,20.7819,42.93,0.8816,32.06
TIETO.HE,19.8,18.6785,18.3582,66.38,0.8377,35.42
METSO.HE,14.52,15.3506,15.4875,34.24,0.396,34.72
STERV.HE,9.588,10.0046,10.2352,31.71,-0.1602,32.96
KNEBV.HE,52.3,56.575,57.0639,24.64,-0.7482,22.63
